Variable,country,avg_interval_width_CPI,avg_interval_width_PPI
CPIinflationrate,canada,4.09,14
OilpriceGlobalWTI,canada,25.6,19.25
RealbroadEER,canada,9.71,9.87
ShorttermIR,canada,7.79,10.03
Unemploymentrate,canada,4.21,18.01
CPIinflationrate,us,9.24,7.05
OilpriceGlobalWTI,us,35.72,19.88
RealbroadEER,us,13.48,6.53
ShorttermIR,us,7.19,4.17
Unemploymentrate,us,3.87,16.42
CPIinflationrate,france,6.75,32.96
OilpriceGlobalWTI,france,25.33,19.09
RealbroadEER,france,5.52,15.08
ShorttermIR,france,7.53,21.83
Unemploymentrate,france,1.38,35.97
CPIinflationrate,germany,7.7,9.35
OilpriceGlobalWTI,germany,37.39,19.85
RealbroadEER,germany,7.09,4.66
ShorttermIR,germany,8.57,5.77
Unemploymentrate,germany,2.75,9.97
CPIinflationrate,japan,5.34,55.47
OilpriceGlobalWTI,japan,25.71,21.27
RealbroadEER,japan,42.19,18.41
ShorttermIR,japan,0.1,15.59
Unemploymentrate,japan,0.82,9.37
CPIinflationrate,uk,6.34,5.89
OilpriceGlobalWTI,uk,40.85,21.31
RealbroadEER,uk,17.2,8.94
ShorttermIR,uk,10.35,7.59
Unemploymentrate,uk,0.79,2.34
CPIinflationrate,italy,13.01,8.13
OilpriceGlobalWTI,italy,39.06,20.88
RealbroadEER,italy,5.77,8.94
ShorttermIR,italy,9.35,8.34
Unemploymentrate,italy,3.41,6.68